State,Long,"Place
Name",County,Lat,"Zip
Code"
NY,-73.0451,Holtsville,Suffolk,40.8154,501
NY,-73.0451,Holtsville,Suffolk,40.8154,544
MA,-72.6227,Agawam,Hampden,42.0702,1001
MA,-72.4646,Amherst,Hampshire,42.3671,1002
MA,-72.5248,Amherst,Hampshire,42.3919,1003
MA,-72.5132,Amherst,Hampshire,42.3845,1004
MA,-72.1084,Barre,Worcester,42.4097,1005
MA,-72.411,Belchertown,Hampshire,42.2751,1007
MA,-72.9361,Blandford,Hampden,42.1829,1008
MA,-72.3405,Bondsville,Hampden,42.2061,1009
MA,-72.1885,Brimfield,Hampden,42.1165,1010
MA,-72.9888,Chester,Hampden,42.2794,1011
MA,-72.8256,Chesterfield,Hampshire,42.3923,1012
MA,-72.6079,Chicopee,Hampden,42.1487,1013
MA,-72.6048,Chicopee,Hampden,42.1707,1014
MA,-72.5761,Chicopee,Hampden,42.1764,1020
MA,-72.6048,Chicopee,Hampden,42.1707,1021
MA,-72.5544,Chicopee,Hampden,42.1934,1022
MA,-72.9202,Cummington,Hampshire,42.4633,1026
MA,-72.669,Easthampton,Hampshire,42.2668,1027
MA,-72.5056,East Longmeadow,Hampden,42.0672,1028
MA,-73.0517,East Otis,Berkshire,42.1909,1029
MA,-72.6751,Feeding Hills,Hampden,42.0718,1030
MA,-72.1986,Gilbertville,Worcester,42.3322,1031
MA,-72.7995,Goshen,Hampshire,42.4404,1032
MA,-72.52,Granby,Hampshire,42.2557,1033
MA,-72.952,Granville,Hampden,42.1127,1034
MA,-72.5715,Hadley,Hampshire,42.3606,1035
MA,-72.4318,Hampden,Hampden,42.0648,1036
MA,-72.2253,Hardwick,Worcester,42.3479,1037
MA,-72.6167,Hatfield,Hampshire,42.3844,1038
MA,-72.7032,Haydenville,Hampshire,42.3818,1039
MA,-72.6262,Holyoke,Hampden,42.202,1040
MA,-72.6162,Holyoke,Hampden,42.2043,1041
MA,-72.8733,Huntington,Hampshire,42.2653,1050
MA,-72.7034,Leeds,Hampshire,42.3543,1053
MA,-72.4993,Leverett,Franklin,42.4682,1054
MA,-72.471,Ludlow,Hampden,42.1728,1056
MA,-72.3196,Monson,Hampden,42.101,1057
MA,-72.5309,North Amherst,Hampshire,42.4104,1059
MA,-72.6313,Northampton,Hampshire,42.3223,1060
MA,-72.636,Northampton,Hampshire,42.3696,1061
MA,-72.6928,Florence,Hampshire,42.3219,1062
MA,-72.6402,Northampton,Hampshire,42.3179,1063
MA,-72.6339,North Hatfield,Hampshire,42.4067,1066
MA,-72.0513,Oakham,Worcester,42.348,1068
MA,-72.3288,Palmer,Hampden,42.1762,1069
MA,-72.9183,Plainfield,Hampshire,42.5144,1070
MA,-72.8403,Russell,Hampden,42.1471,1071
MA,-72.4213,Shutesbury,Franklin,42.482,1072
MA,-72.7194,Southampton,Hampshire,42.2247,1073
MA,-72.0954,South Barre,Worcester,42.3854,1074
MA,-72.5811,South Hadley,Hampshire,42.2375,1075
MA,-72.7706,Southwick,Hampden,42.0511,1077
MA,-72.3296,Thorndike,Hampden,42.1929,1079
MA,-72.3624,Three Rivers,Hampden,42.1819,1080
MA,-72.2046,Wales,Hampden,42.0627,1081
MA,-72.2583,Ware,Hampshire,42.2618,1082
MA,-72.1994,Warren,Worcester,42.204,1083
MA,-72.8709,West Chesterfield,Hampshire,42.3903,1084
MA,-72.7495,Westfield,Hampden,42.1251,1085
MA,-72.848,Westfield,Hampden,42.1734,1086
MA,-72.6469,West Hatfield,Hampshire,42.3906,1088
MA,-72.6411,West Springfield,Hampden,42.1151,1089
MA,-72.6048,West Springfield,Hampden,42.1707,1090
MA,-72.229,West Warren,Worcester,42.2029,1092
MA,-72.6525,Whately,Franklin,42.4427,1093
MA,-72.1408,Wheelwright,Worcester,42.3582,1094
MA,-72.4464,Wilbraham,Hampden,42.1245,1095
MA,-72.778,Williamsburg,Hampshire,42.4085,1096
MA,-72.8295,Woronoco,Hampden,42.164,1097
MA,-72.9314,Worthington,Hampshire,42.3843,1098
MA,-72.5898,Springfield,Hampden,42.1015,1101
MA,-72.6048,Springfield,Hampden,42.1707,1102
MA,-72.5887,Springfield,Hampden,42.1029,1103
MA,-72.5778,Springfield,Hampden,42.1288,1104
MA,-72.5783,Springfield,Hampden,42.0999,1105
MA,-72.5676,Longmeadow,Hampden,42.0507,1106
MA,-72.6065,Springfield,Hampden,42.1179,1107
MA,-72.5584,Springfield,Hampden,42.0853,1108
MA,-72.5543,Springfield,Hampden,42.1145,1109
MA,-72.6048,Springfield,Hampden,42.1707,1111
MA,-72.5916,Springfield,Hampden,42.1029,1115
MA,-72.6048,Longmeadow,Hampden,42.1707,1116
MA,-72.5274,Springfield,Hampden,42.0929,1118
MA,-72.5121,Springfield,Hampden,42.1247,1119
MA,-72.4889,Springfield,Hampden,42.0944,1128
MA,-72.4876,Springfield,Hampden,42.1223,1129
MA,-72.6048,Springfield,Hampden,42.1707,1138
MA,-72.6048,Springfield,Hampden,42.1707,1139
MA,-72.5915,Springfield,Hampden,42.1018,1144
MA,-72.505,Indian Orchard,Hampden,42.1532,1151
MA,-72.6048,Springfield,Hampden,42.1707,1152
MA,-72.605,Springfield,Hampden,42.1199,1199
MA,-73.2471,Pittsfield,Berkshire,42.4531,1201
MA,-73.2285,Pittsfield,Berkshire,42.3929,1202
MA,-73.2285,Pittsfield,Berkshire,42.3929,1203
MA,-73.1172,Adams,Berkshire,42.6223,1220
MA,-73.3202,Ashley Falls,Berkshire,42.0596,1222
MA,-73.1203,Becket,Berkshire,42.3594,1223
MA,-73.1929,Berkshire,Berkshire,42.5126,1224
MA,-73.158,Cheshire,Berkshire,42.5611,1225
MA,-73.1603,Dalton,Berkshire,42.475,1226
MA,-73.1662,Dalton,Berkshire,42.4737,1227
MA,-73.3435,Glendale,Berkshire,42.2793,1229
MA,-73.3607,Great Barrington,Berkshire,42.1959,1230
MA,-73.0724,Hinsdale,Berkshire,42.4298,1235
MA,-73.3745,Housatonic,Berkshire,42.2653,1236
MA,-73.2282,Lanesborough,Berkshire,42.5173,1237
MA,-73.2317,Lee,Berkshire,42.299,1238
MA,-73.2713,Lenox,Berkshire,42.3642,1240
MA,-73.2509,Lenox Dale,Berkshire,42.3386,1242
MA,-73.0104,Middlefield,Hampshire,42.3561,1243
MA,-73.254,Mill River,Berkshire,42.1228,1244
MA,-73.2065,Monterey,Berkshire,42.1867,1245
MA,-73.08,North Adams,Berkshire,42.6955,1247
MA,-73.4462,North Egremont,Berkshire,42.1986,1252
MA,-73.0918,Otis,Berkshire,42.1931,1253
MA,-73.3645,Richmond,Berkshire,42.3784,1254
MA,-73.1163,Sandisfield,Berkshire,42.1094,1255
MA,-73.0233,Savoy,Berkshire,42.577,1256
MA,-73.3611,Sheffield,Berkshire,42.1001,1257
MA,-73.4566,South Egremont,Berkshire,42.1012,1258
MA,-73.2609,Southfield,Berkshire,42.078,1259
MA,-73.2773,South Lee,Berkshire,42.2779,1260
MA,-73.3223,Stockbridge,Berkshire,42.301,1262
MA,-73.2285,Stockbridge,Berkshire,42.3929,1263
MA,-73.1979,Tyringham,Berkshire,42.22,1264
MA,-73.3825,West Stockbridge,Berkshire,42.3348,1266
MA,-73.2036,Williamstown,Berkshire,42.7089,1267
MA,-73.0412,Windsor,Berkshire,42.515,1270
MA,-72.6236,Greenfield,Franklin,42.6013,1301
MA,-72.6242,Greenfield,Franklin,42.5222,1302
MA,-72.811,Ashfield,Franklin,42.5232,1330
MA,-72.2267,Athol,Worcester,42.5959,1331
MA,-72.5772,Bernardston,Franklin,42.6952,1337
MA,-72.8213,Buckland,Franklin,42.5736,1338
MA,-72.8901,Charlemont,Franklin,42.608,1339
MA,-72.7265,Colrain,Franklin,42.679,1340
MA,-72.7025,Conway,Franklin,42.5138,1341
MA,-72.6072,Deerfield,Franklin,42.5406,1342
MA,-72.9862,Drury,Berkshire,42.6427,1343
